year,city,growth,workers,company,state_s,revenue,industry,yrsonlist
2018,Huntsville,384.0241,47,R2C SUPPORT SERVICES,AL,3834386,Government Services,2
2018,Edison,1084.4597,16,Brilliant Infotech,NJ,3832959,Software,1
2018,Fort Smith,104.5788,321,Trinity Multifamily,AR,3832083,Real Estate,1
2018,Bremen,948.1174,6,GEN-Y Hitch,IN,3828752,Manufacturing,1
2018,Kennewick,317.9085,31,Ashby Law,WA,3824143,Consumer Products & Services,3
2018,Tulsa,200.0004,11,PPT Solutions (Oklahoma),OK,3823895,Business Products & Services,1
2018,Des Plaines,444.0295,13,Hawksearch,IL,3820654,Software,1
2018,Marietta,341.6563,27,Synartis Health Services,GA,3820106,Financial Services,3
2018,Boulder,413.2767,25,Green Stone,CO,3819405,Advertising & Marketing,1
2018,Edison,215.6454,18,Law Office of Thomas V. Allen,NJ,3815215,Consumer Products & Services,1
2018,Austin,84.4748,24,MeetEdgar,TX,3811197,Software,2
2018,Orange Park,174.0799,9,Superior Fireworks,FL,3808132,Retail,3
2018,Oklahoma City,79.2681,19,Jones PR,OK,3804678,Advertising & Marketing,4
2018,New York City,86.2381,20,ASTRSK,NY,3801544,Advertising & Marketing,1
2018,Metairie,314.1557,21,Abadie-Williams,LA,3790937,Engineering,1
2018,Northbrook,1059.4265,45,Challas Group,IL,3790513,Financial Services,1
2018,Lexington,266.9025,45,hydra,KY,3785865,Consumer Products & Services,1
2018,Chicago,587.9123,16,Navigate Power,IL,3785547,Energy,2
2018,Wichita,79.0608,31,Profit Builders,KS,3784274,Financial Services,2
2018,Loveland,178.0477,2,MTS Nutrition,OH,3783765,Health,2
2018,Martinsburg,92.172,28,JC Smith,WV,3781870,Construction,1
2018,Boulder,78.1132,19,Parallel Path,CO,3776000,Advertising & Marketing,2
2018,Richmond,197.0915,13,Brandito,VA,3773012,Advertising & Marketing,3
2018,San Diego,1512.1938,5,Dr. Squatch,CA,3769696,Consumer Products & Services,1
2018,Palm Desert,127.2347,8,Priority Lighting,CA,3768010,Construction,3
2018,Suwanee,85.2169,36,MIS Solutions,GA,3764515,IT Services,2
2018,Los Angeles,697.4701,10,Repurpose,CA,3751770,Consumer Products & Services,2
2018,Madison,251.9777,40,Matt Curtis Real Estate,AL,3750069,Real Estate,2
2018,Decatur,524.7708,15,BAILEY'S BLOSSOMS,TX,3749537,Retail,1
2018,Falls Church,357.7406,72,Syntelligent Analytic Solutions,VA,3747829,Government Services,2
2018,Timonium,191.1422,16,ProMD Health,MD,3747000,Health,1
2018,Georgetown,1069.7044,13,June & January,TX,3731088,Retail,1
2018,Aurora,112.3569,23,Klein Hall CPAs,IL,3727341,Financial Services,2
2018,Raleigh,332.3639,23,SoftDev,NC,3723479,Government Services,2
2018,Miami,228.1697,14,Moonglow Jewelry,FL,3721487,Retail,1
2018,West Des Moines,120.3539,32,KCL Engineering,IA,3718768,Engineering,1
2018,Raleigh,178.4223,33,Go Fish Digital,NC,3717294,Advertising & Marketing,2
2018,Cincinnati,917.5557,9,Dibsies Personalization Station,OH,3715910,Retail,1
2018,Washington,58.5611,19,Fireside21,DC,3714275,Software,1
2018,Chicago,154.7282,9,AdaptiBar,IL,3712832,Education,2
2018,Troy,232.8791,28,TekCommands,MI,3709358,IT Services,3
2018,San Francisco,797.1839,32,Kruze Consulting,CA,3707433,Financial Services,1
2018,Burkeville,85.2681,32,YakAttack,VA,3704679,Consumer Products & Services,4
2018,Fort Lauderdale,1392.0775,300,IBS Investment Bank,FL,3702456,Financial Services,1
2018,Zionsville,155.1083,13,Apex Energy Group,IN,3701216,Construction,3
2018,Nashville,61.8309,27,Local Search Masters,TN,3700394,Advertising & Marketing,3
2018,Milford,186.8026,18,Leap the Pond,CT,3699975,Software,1
2018,Arlington,103.1401,17,Qmulos,VA,3699077,IT Services,1
2018,New York City,117.5632,18,Ruckus Marketing,NY,3697212,Advertising & Marketing,3
2018,Devault,225.3122,23,CRM Science,PA,3696792,IT Services,3
2018,Sanford,1144.8363,4,World Housing Solution,FL,3683533,Manufacturing,1
2018,Germantown,315.1755,10,Uber Bazaar,MD,3683466,Retail,1
2018,South Londonderry,89.4283,32,Jamaica Cottage Shop,VT,3678119,Manufacturing,1
2018,Louisville,80.093,14,Cornerstone Engineering,KY,3676535,Engineering,2
2018,Vancouver,174.6413,170,Northwest Healthcare,WA,3676176,Health,2
2018,Rogers,227.691,25,Limbird Real Estate Group,AR,3671604,Real Estate,2
2018,Odessa,675.5558,43,3D Solar,FL,3670752,Energy,1
2018,Glen Allen,63.1111,31,SOLVARIA,VA,3670000,IT Services,2
2018,Totowa,136.7296,20,Sullivan Engineering,NJ,3669622,Engineering,2
2018,Wallingford,126.7094,41,IMPACT Branding & Design,CT,3665771,Advertising & Marketing,1
2018,Daphne,180.8624,31,JMF Solutions,AL,3663623,Telecommunications,3
2018,San Diego,108.6959,154,Shake Smart,CA,3662656,Food & Beverage,2
2018,Brea,83.9301,29,PeopleG2,CA,3662034,Business Products & Services,3
2018,Mooresville,79.1466,7,Striker Concepts / Risk Racing,NC,3659639,Consumer Products & Services,1
2018,San Francisco,1076.7371,41,Tactivos,CA,3651168,Software,1
2018,Orlando,70.1166,21,Nimlok Orlando,FL,3649000,Advertising & Marketing,1
2018,Indiana,2148.1721,1,Option Alpha,PA,3645546,Software,1
2018,Lake Worth,143.9881,200,Florida Premier Realty of the Palm Beaches,FL,3645238,Real Estate,3
2018,Minneapolis,935.5114,40,Kipsu,MN,3645000,Software,1
2018,Portland,178.1172,31,Obility,OR,3640782,Advertising & Marketing,3
2018,Vienna,141.9949,120,Virginia Home Care Services,VA,3640090,Health,2
2018,St Petersburg,2079.2349,13,CU Engage,FL,3638625,Financial Services,1
2018,New York City,66.4807,24,EDG,NY,3637908,Engineering,2
